Domain,#Quads of Subset,#Entities of class,Properties and Density
uyunisaltflat.com,632,12,{'name': 1.0}
polarbearofleura.com.au,291,3,{'name': 1.0}
biancaboriassiphotographer.it,169,2,{'name': 1.0}
castelfranco.pi.it,261,9,{'name': 1.0}
grosio.so.it,144,6,{'name': 1.0}
thatscoldbrew.com,576,6,{'name': 1.0}
textil-grosshandel.eu,478,6,{'name': 1.0}
chianciano-terme.siena.it,88,3,{'name': 1.0}
doughboyz.com.au,159,20,{'name': 1.0}
tarzo.tv.it,29,1,{'name': 1.0}
pizzahq.com.au,125,7,{'name': 1.0}
egopowerplus.gr,176,8,{'name': 1.0}
canneroriviera.vb.it,67,3,{'name': 1.0}
starcity.pro,433,6,{'name': 1.0}
hinisgazetesi.com,646,18,{'name': 1.0}
sunstone-systems.com,19,1,{'name': 1.0}
westernpest.com,1889,4,{'geo': 1.0}
trutechinc.com,612,2,{'geo': 1.0}
hawthornpizza.com.au,100,1,{'name': 1.0}
kielstrupvvs.dk,68,1,{'name': 1.0}
bytesnipers.com,174,2,{'name': 1.0}
enego.vi.it,66,3,{'name': 1.0}
mosidiproperties.co.za,341,12,{'name': 1.0}
atseuromaster.co.uk,94,5,{'name': 1.0}
montesangiovannicampano.fr.it,145,5,{'name': 1.0}
azpowerwashpros.com,283,1,{'geo': 1.0}
anulimpiezas.net,16,1,{'name': 1.0}
eatmytrip.com,284,1,{'containsPlace': 1.0}
soflotiki.com,671,6,{'name': 1.0}
24hvisa.com,433,1,{}
bottleneckseo.com,92,2,{'name': 1.0}
west-trans.com.au,146,5,{'name': 1.0}
xn-----6kcbah2auadsrbcskjzex1a2a6rmc.xn--p1ai,421,8,{'name': 1.0}
maranodivalpolicella.vr.it,58,2,{'name': 1.0}
ortucchio.aq.it,69,3,{'name': 1.0}
sylvesterspizzadelivery.com.au,442,114,{'name': 1.0}
southernagcredit.com,418,48,{'name': 1.0}
birazdahaucuz.com,427,9,{'name': 1.0}
hotel-de-la-sologne.com,48,1,{'name': 1.0}
martinolesen.dk,160,2,{'name': 1.0}
houseproud.com.au,163,7,{'name': 1.0}
veritiv.com,76,1,{'name': 1.0}
laloggia.to.it,29,1,{'name': 1.0}
eskulapek.pl,40,2,{'name': 1.0}
lakemacbathroomrenovations.com.au,500,6,{'name': 1.0}
fagnanoolona.va.it,42,2,{'name': 1.0}
indyfinancelaw.com,283,3,{'name': 1.0}
edinburghseogmb.com,944,6,{'name': 1.0}
sdliningsolutions.com,1205,6,{'geo': 1.0}
harrygiglio.com,262,2,{'name': 1.0}
manarapizzahouse.com.au,230,10,{'name': 1.0}
yurthaberleritv.com,70,2,{'name': 1.0}
bizimsamsun.net,779,22,{'name': 1.0}
rimont.nl,84,3,{'name': 1.0}
xn-----6kccnacoa0abenketxpegbxediye3g9o.xn--p1ai,170,2,{'name': 1.0}
mobilehomegone.com,580,1,{'containsPlace': 1.0}
turchinesq.com,96,1,{'name': 1.0}
schwalbe-umzuege.de,171,1,{'name': 1.0}
zingarellipizza.com.au,115,6,{'name': 1.0}
singlesoverfifty.net,52,5,{'name': 1.0}
bestcare.org,20,1,{'address': 1.0}
pizzaheights.com.au,138,14,{'name': 1.0}
seaempowerment.org,40,4,{'name': 1.0}
dentalimplantstasmania.com.au,1084,6,{'geo': 1.0}
levanto.sp.it,253,5,{'name': 1.0}
valpelline.ao.it,22,1,{'name': 1.0}
my-plumber.co.uk,108,2,{'name': 1.0}
dodin-voyages.com,176,4,{'name': 1.0}
chodat.com.vn,322,1,{}
alona.vn,188,1,{}
zonnepanelenoost.nl,249,3,{'name': 1.0}
jcyl.es,120,5,{'name': 1.0}
marketingillumination.com,124,2,{'name': 1.0}
shadow.vn,406,1,{}
memurol.net,418,12,{'name': 1.0}
salesfocusinc.com,250,3,{'name': 1.0}
focusedenergy.work,38,2,{'name': 1.0}
nmlawgiant.com,273,2,{'name': 1.0}
carrelage-raffaud.com,33,1,{'name': 1.0}
dailycieux.fr,117,1,{'name': 1.0}
uid-web.com,1011,5,{'name': 1.0}
phillipssublimation.com,37,1,{'name': 1.0}
mgmakeovers.com,100,1,{'name': 1.0}
marshberry.com,144,2,{'name': 1.0}
xn-----6kcbak1aqeivfrdkfcup3b8b3bm1ipa.xn--p1ai,164,4,{'name': 1.0}
driveclassiccadillac.com,808,5,{'name': 1.0}
pieterkotze.co.za,61,2,{'name': 1.0}
crispycatchfishandchips.com.au,98,1,{'name': 1.0}
britishop.com,60,2,{'name': 1.0}
welcome-services83.fr,246,12,{'name': 1.0}
grazianolaw.com,539,4,{'name': 1.0}
camping-car-81.com,382,10,{'name': 1.0}
sangiorgiodellepertiche.pd.it,24,1,{'name': 1.0}
perosaargentina.to.it,58,2,{'name': 1.0}
mimispizza.com.au,151,18,{'name': 1.0}
nppm.co.za,33,1,{'name': 1.0}
scubashackaxa.com,208,8,{'name': 1.0}
san-costanzo.pu.it,174,6,{'name': 1.0}
ja-ren.dk,99,1,{'name': 1.0}
doughpizzeria.com.au,119,8,{'name': 1.0}
neumaticostorremolinos.es,89,1,{'name': 1.0}
lisata.com,505,6,{'name': 1.0}
timeout.com.hk,250,12,{'name': 1.0}
houz-it.co.za,52,2,{'name': 1.0}
kustomwindowtinting.com.au,110,1,{'name': 1.0}
stjohnsvillage.co.za,55,2,{'name': 1.0}
libertyinsulationpa.com,477,3,{'name': 1.0}
euromaster.de,54,3,{'name': 1.0}
xn----btbkmfeumbbubdeu.xn--p1ai,214,2,{'name': 1.0}
cisanosulneva.sv.it,84,4,{'name': 1.0}
mashirilawfirm.com,455,8,{'name': 1.0}
mticket.com,2175,3,{'address': 1.0}
marybaileyrealestate.com,58,2,{'name': 1.0}
voyagotransit.ca,180,3,{'name': 1.0}
zyyx.jp,80,1,{'name': 1.0}
tinthanhphat.com.vn,1623,3,{}
anlaegsgartneriet.dk,92,1,{'name': 1.0}
pharmaciepeyroux-issoudun.com,88,2,{'name': 1.0}
classicmazdawestside.com,165,1,{'name': 1.0}
pharmaciedemouix.fr,35,1,{'name': 1.0}
officespaces.co.za,58,2,{'name': 1.0}
palu.vr.it,29,1,{'name': 1.0}
altissimo.vi.it,60,2,{'name': 1.0}
smempireprojectspmb.co.za,248,1,{'name': 1.0}
acuitylawpartners.com.au,85,1,{'name': 1.0}
americantowingpro.com,1477,6,{'containsPlace': 0.6666666666666666}
brunerfirm.com,291,33,{'name': 1.0}
hobartexcavations.com,1272,6,{'name': 1.0}
bryantbooks.com,59,1,{'name': 1.0}
wowbmsolutions.com,204,6,{'name': 1.0}
reedsorganicfarm.org,19,1,{'name': 1.0}
qmpizza.com.au,398,37,{'name': 1.0}
decryptis.fr,109,6,{'Name': 1.0}
uddevallafyndhuset.se,267,2,{'name': 1.0}
deutzsupport.com,94,1,{'name': 1.0}
newdayproperties.com,3177,17,{'containsPlace': 1.0}
theuniguide.com.au,21,1,{'name': 1.0}
traductorjuradoonline.com,90,2,{'name': 1.0}
bailleux.be,818,10,{'name': 1.0}
alexiasanteservice.com,130,4,{'name': 1.0}
falconpackaging.com,418,28,{'name': 1.0}
kalpanaaesthetics.com,26640,3,{'hasMap': 1.0}
grosotto.so.it,102,2,{'name': 1.0}
musnuss.de,313,4,{'name': 1.0}
spjensen.dk,86,1,{'name': 1.0}
elektro-aydin.de,165,2,{'name': 1.0}
theorg.com,368,8,{'address': 1.0}
kristinafounkhypnotherapy.com,313,2,{'geo': 1.0}
delishpizzaclyde.com.au,131,12,{'name': 1.0}
assileye.cn,92,2,{'name': 1.0}
cleandesignuk.uk,233,2,{'name': 1.0}
ttline.com,84,4,{'name': 1.0}
mslsrl.it,478,12,{'name': 1.0}
xn----8sbdbmcbe0anbcn8acc1advmz0m.xn--p1ai,84,4,{'name': 1.0}
istasyonhaber.net,622,16,{'name': 1.0}
castropignano.cb.it,67,3,{'name': 1.0}
inquangcaothuonghieu.com.vn,9739,6,{'name': 1.0}
awardwinningcarpetcleaning.com,40,1,{'name': 1.0}
northlightingconcepts.com,154,3,{'name': 1.0}
acciano.aq.it,52,1,{'name': 1.0}
medyapozitif.com.tr,71,2,{'name': 1.0}
glproperties.co.za,98,3,{'name': 1.0}
lesbouchers-tours.com,202,4,{'name': 1.0}
ml-multiservice.dk,78,1,{'name': 1.0}
arthaos.io,35,1,{'name': 1.0}
1stchoiceblindsedinburgh.co.uk,272,4,{'name': 1.0}
nellievanstaden.com,145,5,{'name': 1.0}
tourisme64.com,30,6,{'name': 1.0}
diveinintl.com,17,1,{'name': 1.0}
ingvard-bie.dk,77,1,{'name': 1.0}
pharmaciedestvictor.com,120,3,{'name': 1.0}
theturnerhometeam.com,389,8,{'name': 1.0}
bejstrup.dk,131,1,{'name': 1.0}
alfox.es,88,2,{'name': 1.0}
revine-lago.tv.it,29,1,{'name': 1.0}
sommarivadelbosco.cn.it,290,10,{'name': 1.0}
auto-remorquage-depannage.fr,6,1,{'name': 1.0}
tennisbloggen.net,30,1,{'name': 1.0}
toyo.de,24,1,{'name': 1.0}
projecting-art.com,246,4,{'name': 1.0}
pipeshield-inc.com,850,7,{'geo': 1.0}
zenithroofingco.com,851,8,{'name': 1.0}
xn-----6kcbbfemrjsa2bdg2aasbv0a5fym.xn--p1ai,385,6,{'name': 1.0}
sanbasile.cs.it,67,1,{'name': 1.0}
cosoleto.rc.it,29,1,{'name': 1.0}
rmchauffeurs.com.au,66,2,{'name': 1.0}
balisuta.com,58,8,{'name': 1.0}
delhi.live,14,1,{'name': 1.0}
idraulicaborsetti.it,545,6,{'name': 1.0}
tisaccess.com,37,1,{'name': 1.0}
jeppesensservice.dk,35,1,{'name': 1.0}
xn--helles-rengring-gub.dk,68,1,{'name': 1.0}
cleaningacton.co.uk,372,2,{'name': 1.0}
langbeinpa.com,768,8,{'name': 1.0}
moladibari.ba.it,29,1,{'name': 1.0}
checkpointdm.com,32,1,{'name': 1.0}
cervo.im.it,58,2,{'name': 1.0}
belovdigital.agency,109,1,{'name': 1.0}
roofrepairtoday.com,39,1,{'name': 1.0}
valentin-hos.com,117,3,{'name': 1.0}
xn--bh-tmrer-84a.dk,77,1,{'name': 1.0}
carpaneto.pc.it,87,3,{'name': 1.0}
sragro.dk,78,1,{'name': 1.0}
bettercx.in,46,4,{'name': 1.0}
doctorfox.co.uk,1619,4,{'name': 1.0}
xn-----7kcbddaemdhbe0bf2aglzevbp6e9gocyd.xn--p1ai,77,4,{'name': 1.0}
prali.to.it,29,1,{'name': 1.0}
elitefootball.es,68,1,{'name': 1.0}
peckritchey.com,411,33,{'name': 1.0}
perrywood.co.za,128,4,{'name': 1.0}
elvin-charpente.fr,35,2,{'name': 1.0}
cuneogriss.it,62,3,{'name': 1.0}
lejardinloisir-79.com,129,3,{'name': 1.0}
chiusdino.si.it,203,7,{'name': 1.0}
prideplumbingphc.com,811,3,{'geo': 1.0}
route66.bg,169,1,{'name': 1.0}
bientina.pi.it,87,3,{'name': 1.0}
freehostia.com,525,16,{'name': 1.0}
charlin-rev-41.fr,50,1,{'name': 1.0}
ciromarina.kr.it,88,4,{'name': 1.0}
vudu.cl,46,1,{'name': 1.0}
thedogsuniverse.com,292,20,{'name': 1.0}
dklrengoring.dk,240,3,{'name': 1.0}
newcastlepergolas.com.au,500,6,{'name': 1.0}
miradorlaw.com,100,2,{'name': 1.0}
rmajorcorp.com,85,3,{'name': 1.0}
southlandinsulators.com,1057,15,{'name': 1.0}
torrepellice.to.it,59,2,{'name': 1.0}
velos-albret.fr,201,3,{'name': 1.0}
lincolnair.com,1109,4,{'geo': 1.0}
roncoscrivia.ge.it,92,4,{'name': 1.0}
unitedtextileshome.com,452,4,{'geo': 1.0}
philip-marks-removals.co.uk,117,3,{'name': 1.0}
arkshot.co.uk,45,1,{'name': 1.0}
myrainfall.com,15,1,{'isAccessibleForFree': 1.0}
lebenspraxis.com,259,2,{'name': 1.0}
longonesabino.ri.it,157,3,{'name': 1.0}
propnett.com,74,2,{'name': 1.0}
hottubsetc.com,1772,8,{'containsPlace': 1.0}
balance-i-dit-liv.dk,87,1,{'name': 1.0}
lucaiacono.com,24,2,{'name': 1.0}
xn----8sbbccoee0aocm7ac7bnq6j.xn--p1ai,52,4,{'name': 1.0}
bakerperkins.com,11,1,{'name': 1.0}
werentcopiers.com,89,2,{'name': 1.0}
harryspizza.com.au,173,26,{'name': 1.0}
lentatesulseveso.mb.it,42,2,{'name': 1.0}
loreo.ro.it,51,1,{'name': 1.0}
cash-for-houses.org,2232,12,{'containsPlace': 1.0}
jh-iso.dk,77,1,{'name': 1.0}
cheval-reference.com,154,7,{'name': 1.0}
newcastlesolarpower.com.au,922,6,{'name': 1.0}
xn----8sbelqgccb9adhpikkc4p6b.xn--p1ai,551,14,{'address': 1.0}
kilmorepizzahouse.com,102,2,{'name': 1.0}
w-4.ch,196,4,{'name': 1.0}
wa.gov,60,1,{'name': 1.0}
conciergehomebuyer.com,1073,3,{'containsPlace': 1.0}
lusernetta.to.it,88,3,{'name': 1.0}
instantlaserclinic.com.au,482,1,{'name': 1.0}
aretepestcontrol.com,152,1,{'name': 1.0}
driveclassichonda.com,175,1,{'name': 1.0}
phase1electronics.com,199,2,{'name': 1.0}
sestri-levante.ge.it,132,6,{'name': 1.0}
pizzaplanettruganina.com.au,117,7,{'name': 1.0}
xn--80acicdnaenblgpp7bn5k.xn--p1ai,144,4,{'name': 1.0}
reddbarneyclydesdales.com,164,3,{'address': 1.0}
strategiquepartners.com,205,1,{'name': 1.0}
leedinsulation.net,1039,55,{'name': 1.0}
evacuatoralarms.com,323,3,{'address': 1.0}
docungviet.vn,176,1,{'name': 1.0}
nailingthejob.com,210,3,{'name': 1.0}
magliano-in-toscana.gr.it,29,1,{'name': 1.0}
omahahomeadvisors.com,1310,8,{'containsPlace': 1.0}
manufacturer.clothing,119,8,{'name': 1.0}
740cashbuyers.com,2114,8,{'containsPlace': 0.875}
domainedeslongchamps.com,40,1,{'name': 1.0}
agence-terra.fr,95,2,{'name': 1.0}
montgomerypest.com,72,2,{'name': 1.0}
goodtymesinflatables.com,181,3,{'geo': 1.0}
ayahuasca-amazon.com,30,1,{'name': 1.0}
evolutionad.ca,776,3,{'name': 1.0}
activerooterplumbingdraincleaning.com,438,9,{'name': 1.0}
rtswaste.co.uk,40,3,{'name': 1.0}
bignickspizza.com.au,119,7,{'name': 1.0}
ayrintigazetesi.com.tr,140,4,{'name': 1.0}
revolte-racing.com,43,1,{'name': 1.0}
relistor.com,57,1,{'name': 1.0}
radicondoli.si.it,87,3,{'name': 1.0}
logarankseo.com,138,4,{'name': 1.0}
sludgebusters.net,733,4,{'geo': 1.0}
achtsamkeitskurse-freiburg.de,204,1,{'name': 1.0}
udancers.com,25,1,{'name': 1.0}
xn------5cdcbkbcza0bbxiullphe0agfrdggw5ep23a.xn--p1ai,183,4,{'name': 1.0}
relistorhcp.com,62,1,{'name': 1.0}
beastburgers.com.au,259,24,{'name': 1.0}
umanskyalfaromeo.com,142,1,{'name': 1.0}
adveco.co,173,2,{'name': 1.0}
pronamicproperties.co.za,26,1,{'name': 1.0}
warrencat.com,492,4,{'name': 1.0}
th-hansen.dk,77,1,{'name': 1.0}
driveclassicgm.com,139,1,{'name': 1.0}
freedomfromtorture.org,87,3,{'address': 1.0}
sanservejanitorial.com,176,2,{'name': 1.0}
lutron.com,15,1,{'name': 1.0}
optic-emoi.com,70,2,{'name': 1.0}
nav43.com,95,1,{'address': 1.0}
pharmacie-des-iles.com,45,1,{'name': 1.0}
innovaasistencial.com,56,4,{'name': 1.0}
tv48.com.tr,503,14,{'name': 1.0}
vivifin.com,113,5,{'name': 1.0}
gulaytunckol.com,1182,6,{'name': 1.0}
sevencornersconcrete.com,114,1,{'name': 1.0}
fulcrumconcepts.com,696,7,{'name': 1.0}
newcastlemouldremoval.com.au,171,2,{'name': 1.0}
talleresalpens.com,79,1,{'name': 1.0}
restaurantmarocain-lemadison.com,513,10,{'name': 1.0}
henrimartinezapsf.com,36,2,{'name': 1.0}
tikisurfschool.com,367,7,{'name': 1.0}
breganze.vi.it,29,1,{'name': 1.0}
automaticre.com,308,3,{'name': 1.0}
panicpizzacampbellfield.com.au,97,1,{'name': 1.0}
ra-lauck.de,212,3,{'name': 1.0}
brilliantdayhomes.com,725,3,{'containsPlace': 1.0}
sportintegrity.gov.au,11,1,{'name': 1.0}
miane.tv.it,29,1,{'name': 1.0}
bigdesire.co.jp,954,100,{'name': 1.0}
noithatdaingan.vn,410,2,{}
chemistclick.co.uk,499,4,{'name': 0.5}
ezypeazy.co.nz,493,8,{'name': 1.0}
mediaplus.com.sg,246,2,{'name': 1.0}
drv.tw,67,1,{'name': 1.0}
seasprayjewelry.com,92,2,{'geo': 1.0}
getsimplebox.com,240,1,{'name': 1.0}
plann-d.co.uk,492,6,{'name': 1.0}
amobilemaintenance.com,42,3,{'name': 1.0}
laitnoir.com.au,97,1,{'name': 1.0}
personalinjuryking.com,101,2,{'name': 1.0}
sanmassimo.cb.it,22,1,{'name': 1.0}
xn--stvringsmedie-cnb.dk,68,1,{'name': 1.0}
cornuda.tv.it,87,3,{'name': 1.0}
gmr-85.com,90,2,{'name': 1.0}
abc-determitage.fr,80,2,{'name': 1.0}
bbvlegal.com.au,705,3,{'name': 1.0}
thepipeshark.com,90,1,{'geo': 1.0}
bridget1d.com,17,1,{'name': 1.0}
comparaepoupa.com.br,872,2,{'name': 1.0}
concreterswollongong.com,1484,18,{'name': 1.0}
projektmagazin.de,238,8,{}
franckbarras.com,90,2,{'name': 1.0}
jadecalkins.com,27,1,{'name': 1.0}
pharmacievianojoffre36.com,91,2,{'name': 1.0}
pietraligure.sv.it,21,1,{'name': 1.0}
triplepalace.com,24,1,{'name': 1.0}
rejseklinikken.dk,116,1,{'name': 1.0}
steadynetworks.com,152,2,{'name': 1.0}
lometgael.com,182,6,{'name': 1.0}
robert-couvreur-92.fr,40,2,{'name': 1.0}
aurora-infotech.com,42,1,{'name': 1.0}
webmediadxb.com,342,2,{'name': 1.0}
atvalor.com,399,5,{'name': 1.0}
lacocina.com.au,98,1,{'name': 1.0}
bosakmotor.com,291,2,{'name': 1.0}
aromapizzaandpasta.com.au,102,2,{'name': 1.0}
achildrensdentist.com,167,2,{'name': 1.0}
bonnieandclydespizzeria.com.au,110,5,{'name': 1.0}
castiglionfibocchi.ar.it,87,3,{'name': 1.0}
partiesinc.com,45,1,{'geo': 1.0}
garage-razat.fr,42,1,{'name': 1.0}
bloompropertiessa.co.za,28,1,{'name': 1.0}
fejeren.dk,74,1,{'name': 1.0}
proauto.com.ua,107,1,{'name': 1.0}
sansiro.co.it,51,1,{'name': 1.0}
dusver.nl,202,1,{'name': 1.0}
4starplumbing.com,277,1,{'name': 1.0}
boucherie-chefdeville.fr,54,1,{'name': 1.0}
broadleaftreesurgery.co.uk,296,2,{'name': 1.0}
floridaiaq.com,58,2,{'name': 1.0}
aarhusskorstensfejeren.dk,97,1,{'name': 1.0}
cleanerchiswick.com,102,1,{'name': 1.0}
agapecompany.ca,62,1,{'hasMap': 1.0}
mezzago.mb.it,205,4,{'name': 1.0}
stealthy.co,122,2,{'address': 1.0}
serramazdabrighton.com,345,2,{'name': 1.0}
interhome.nl,17,1,{'name': 1.0}
singlesover60.co.nz,40,4,{'name': 1.0}
donau.co.uk,213,3,{'name': 1.0}
sadiqueuddin.co.uk,331,6,{'name': 1.0}
boydgroup.co.za,30,1,{'name': 1.0}
lnglandscapesmn.com,213,1,{'containsPlace': 1.0}
sorgono.nu.it,88,4,{'name': 1.0}
woodlawnsyracuse.org,67,1,{'name': 1.0}
willowholecowboys.com,306,5,{'name': 1.0}
asahitechnologies.com,50,1,{'name': 1.0}
littlecaesarspizza.com.au,121,8,{'name': 1.0}
jose-vicente.es,46,1,{'name': 1.0}
groupeenseigneshumbert.fr,45,2,{'name': 1.0}
freshstartwomen.org,106,1,{'name': 1.0}
xn--totalenvironmentpropertes-5kc.com,388,1,{'name': 1.0}
paradisepizzas.com.au,127,10,{'name': 1.0}
xn----8sbdjcdexmcltmc7b8i.xn--p1ai,26,2,{'name': 1.0}
artificialturfnewcastle.com,647,8,{'name': 1.0}
goendlessenergy.com,3004,3,{'name': 1.0}
el-toro-pizza.com.au,125,8,{'name': 1.0}
lechapeauthe.com,224,5,{'name': 1.0}
tripdifferent.com,24,1,{'name': 1.0}
gioiadeimarsi.aq.it,201,9,{'name': 1.0}
t4haber.com.tr,207,6,{'name': 1.0}
canneto.mn.it,205,4,{'name': 1.0}
lagnasco.cn.it,145,5,{'name': 1.0}
base131.com.au,99,1,{'name': 1.0}
ballerupskadecenter.dk,77,1,{'name': 1.0}
bpaimmigrationlawyers.com,184,1,{'name': 1.0}
tier1clicksmarketing.com,90,1,{}
apericave.fr,96,2,{'name': 1.0}
lonsethpain.com,62,2,{'name': 1.0}
bmwofmamaroneck.com,212,1,{'name': 1.0}
cicerocarpetcleaning.net,582,12,{'name': 1.0}
professionaldeckbuildertexas.com,211,2,{'name': 1.0}
pomaretto.to.it,146,5,{'name': 1.0}
ceremonybydesign.com.au,114,1,{'name': 1.0}
chasenboscolo.com,410,24,{'name': 1.0}
campodarsego.pd.it,48,2,{'name': 1.0}
fortcollinswarehouseliquors.com,105,1,{'geo': 1.0}
guenther-trockenbau.de,146,2,{'name': 1.0}
roofsonly.com,204,20,{'name': 1.0}
atoutoit37.com,82,2,{'name': 1.0}
ekw.nl,76,2,{'name': 1.0}
delphiproperty.com.au,62,1,{'name': 1.0}
goldenelmpizza.com.au,112,5,{'name': 1.0}
konferenztechnik.org,78,4,{'name': 1.0}
sanmartinobuonalbergo.vr.it,146,5,{'name': 1.0}
digitalentinc.com,57,1,{'name': 1.0}
regionalaustraliabank.com.au,208,3,{'name': 1.0}
lyth-skagen.dk,82,1,{'name': 1.0}
mercedesbenzdesmoines.com,1448,6,{'name': 1.0}
sewerprodrains.com,186,1,{'geo': 1.0}
azurewebsites.net,40,1,{'name': 1.0}
lapetitenoue-18.fr,104,3,{'name': 1.0}
onlinedepartment.nl,582,5,{'name': 1.0}
endurancemag.fr,81,1,{'name': 1.0}
mydentistkids.es,38,1,{'name': 1.0}
blueblissstudio.com,95,1,{'name': 1.0}
doctorsinternet.com,406,2,{'geo': 1.0}
russellhealth.ca,46,1,{'name': 1.0}
sospirolo.bl.it,45,2,{'name': 1.0}
c3ntro.com,28,1,{'name': 1.0}
completeshreddingsolutions.com,607,30,{'name': 1.0}
alquilerdebarredora.com,228,3,{'name': 1.0}
topgulve.dk,86,1,{'name': 1.0}
gocollaborativepa.com,55,5,{'name': 1.0}
shelterhouse.on.ca,136,2,{'name': 1.0}
aussiepizza.com.au,290,30,{'name': 1.0}
lopezbustamante.com.ar,617,8,{'name': 1.0}
stevenellisproperty.co.za,253,8,{'name': 1.0}
cartigliano.vi.it,29,1,{'name': 1.0}
fortifiedsouls.com,99,1,{'@name': 1.0}
goawrd.gov.in,90,1,{'name': 1.0}
sauber.space,290,5,{'name': 1.0}
walthamservices.com,631,1,{'geo': 1.0}
fleetpump.com,325,7,{'name': 1.0}
vrf-mrv.ru,47,1,{'name': 1.0}
frplegal.com,103,10,{'name': 1.0}
spordetay.com.tr,67,2,{'name': 1.0}
seovikings.com,966,13,{'geo': 1.0}
agridogruhaber.com,69,2,{'name': 1.0}
midcolumbiainsurance.com,1480,2,{'name': 1.0}
canberrapergolas.com,217,3,{'name': 1.0}
lasertagamusement.ca,17,1,{'name': 1.0}
worksolutions.ru,14,1,{'name': 1.0}
sushiandmore.com.au,100,1,{'name': 1.0}
willyknives.uy,90,3,{'name': 1.0}
outpatienthysterectomy.com,29,1,{'name': 1.0}
brajaawning.com,214,14,{'name': 1.0}
kemmylawfirm.com,110,1,{'name': 1.0}
jacobs-elteknik.dk,89,1,{'name': 1.0}
sansalvatoredifitalia.me.it,57,1,{'name': 1.0}
wegnerroofing.com,518,10,{'name': 1.0}
acorntuckpointing.net,257,60,{'name': 1.0}
casoratesempione.va.it,87,3,{'name': 1.0}
dgstesting.com,103,2,{'name': 1.0}
specialistii.ro,18,1,{'name': 1.0}
reliveproperties.co.za,29,1,{'name': 1.0}
segurocanguro.com,13,1,{'name': 1.0}
nrgprotects.com,87,3,{'name': 1.0}
arese.mi.it,21,1,{'name': 1.0}
zoominmarketing.nl,229,1,{'containsPlace': 1.0}
prestopasta.com.au,102,2,{'name': 1.0}
for.co,210,5,{'name': 1.0}
beprice.jp,161,7,{'name': 1.0}
latiano.br.it,29,1,{'name': 1.0}
detroitvirtualcareerfair.com,362,1,{'name': 1.0}
medienschiff.de,25,1,{'name': 1.0}
fridgerepairkenya.com,34,1,{'name': 1.0}
steklopaket.md,211,1,{'name': 1.0}
humedadesdelnoroeste.es,72,1,{'name': 1.0}
uncleginospizza.com.au,152,19,{'name': 1.0}
brightwork.com,255,3,{'name': 1.0}
partfy.com,300,1,{'name': 1.0}
homelovr.com,446,1,{'containsPlace': 1.0}
dynamicsintelligence.com,151,1,{'name': 1.0}
fisiolabmarsciano.com,135,9,{'name': 1.0}
xn------5cdde2acfrdeji1akjrd4as6b0c0j.xn--p1ai,251,6,{'name': 1.0}
sandemetrionevestini.aq.it,53,1,{'name': 1.0}
roccabruna.cn.it,145,5,{'name': 1.0}
ayphassorho.fr,76,1,{'name': 1.0}
terryreidhyundai.com,53,1,{'name': 1.0}
topciment.com,146,1,{'name': 1.0}
massarosa.lu.it,87,3,{'name': 1.0}
lecommercesandra.com,45,1,{'name': 1.0}
ranasfishandchips.com.au,160,21,{'name': 1.0}
dwqr.scot,14,1,{'name': 1.0}
atheatingplumbingcardiff.com,70,1,{'name': 1.0}
onlineshuwa.com,77,1,{'name': 1.0}
haywardproperties.co.za,27,1,{'name': 1.0}
pinkflakefishnchips.com.au,102,1,{'name': 1.0}
cote-patio-aire-sur-adour.fr,9,1,{'name': 1.0}
renuchiro.com,673,6,{'name': 1.0}
koalacooling.com,113,1,{'name': 1.0}
mvp-service.dk,79,1,{'name': 1.0}
renovation-icaunaise.com,69,2,{'name': 1.0}
xn------5cdbidclkg5bii2a7abfdbaggngfjt4a6e0czjwe.xn--p1ai,444,8,{'name': 1.0}
lenfurniture.com,100,1,{'name': 1.0}
jenniferdawncoaching.com,74,1,{}
blackstonevt.com,70,1,{'name': 1.0}
cgwoodcare.dk,77,1,{'name': 1.0}
singularcover.com,121,1,{'name': 1.0}
saonebtpconstruction.com,43,1,{'address': 1.0}
sermoneta.latina.it,23,1,{'name': 1.0}
notissouvlaki.com.au,96,1,{'name': 1.0}
scarnafigi.cn.it,58,2,{'name': 1.0}
tingstrupmurerforretning.dk,154,2,{'name': 1.0}
adanvega.com,382,2,{'geo': 1.0}
scottscustomconstruction.com,137,3,{'name': 1.0}
hiiper.nl,83,1,{'name': 1.0}
marchewebmarketing.it,223,1,{'name': 1.0}
unionealtavalnure.it,29,1,{'name': 1.0}
tutfg.es,107,1,{'name': 1.0}
malerello.dk,101,1,{'name': 1.0}
blackwalnutwm.com,137,2,{'name': 1.0}
ctacontracting.com,82,1,{'name': 1.0}
itcomms.io,40,1,{'name': 1.0}
redbeaconfe.com,129,1,{'name': 1.0}
xn--80aadbmedxnbluke7b7cwe.xn--p1ai,194,4,{'name': 1.0}
hirangewindowcleaning.com.au,55,2,{'name': 1.0}
glennsmilecenter.com,969,1,{'name': 1.0}
aurema41.fr,34,1,{'name': 1.0}
xn-----6kcabbfdceeqke8bzabcgn1aiycl8do3tuc.xn--p1ai,52,4,{'name': 1.0}
synergyconversion.com,147,3,{'name': 1.0}
michigancriminallawyer.com,424,6,{'name': 1.0}
samdaihongphat.com,48,1,{'name': 1.0}
sprout.ph,20,1,{'name': 1.0}
anita-maertin-bestattungen.de,246,2,{'name': 1.0}
germandragon.com,61,2,{'name': 1.0}
